nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 2145  Val samples: 543

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 0 [10/537] loss=1.2134 mask=0.8541 iou=0.3593
  Epoch 0 [20/537] loss=1.0772 mask=0.8295 iou=0.2477
  Epoch 0 [30/537] loss=0.9716 mask=0.7854 iou=0.1862
  Epoch 0 [40/537] loss=0.8508 mask=0.6935 iou=0.1573
  Epoch 0 [50/537] loss=0.7674 mask=0.6239 iou=0.1435
  Epoch 0 [60/537] loss=0.6942 mask=0.5646 iou=0.1296
  Epoch 0 [70/537] loss=0.6365 mask=0.5182 iou=0.1183
  Epoch 0 [80/537] loss=0.5885 mask=0.4790 iou=0.1095
  Epoch 0 [90/537] loss=0.5447 mask=0.4425 iou=0.1021
  Epoch 0 [100/537] loss=0.5168 mask=0.4190 iou=0.0978
  Epoch 0 [110/537] loss=0.4923 mask=0.3988 iou=0.0935
  Epoch 0 [120/537] loss=0.4703 mask=0.3811 iou=0.0891
  Epoch 0 [130/537] loss=0.4477 mask=0.3627 iou=0.0850
  Epoch 0 [140/537] loss=0.4361 mask=0.3532 iou=0.0829
  Epoch 0 [150/537] loss=0.4205 mask=0.3406 iou=0.0799
  Epoch 0 [160/537] loss=0.4118 mask=0.3328 iou=0.0790
  Epoch 0 [170/537] loss=0.3969 mask=0.3211 iou=0.0758
  Epoch 0 [180/537] loss=0.3904 mask=0.3155 iou=0.0749
  Epoch 0 [190/537] loss=0.3783 mask=0.3059 iou=0.0724
  Epoch 0 [200/537] loss=0.3704 mask=0.2991 iou=0.0714
  Epoch 0 [210/537] loss=0.3617 mask=0.2926 iou=0.0691
  Epoch 0 [220/537] loss=0.3572 mask=0.2891 iou=0.0681
  Epoch 0 [230/537] loss=0.3504 mask=0.2837 iou=0.0667
  Epoch 0 [240/537] loss=0.3445 mask=0.2792 iou=0.0653
  Epoch 0 [250/537] loss=0.3386 mask=0.2745 iou=0.0641
  Epoch 0 [260/537] loss=0.3332 mask=0.2698 iou=0.0634
  Epoch 0 [270/537] loss=0.3277 mask=0.2652 iou=0.0625
  Epoch 0 [280/537] loss=0.3220 mask=0.2605 iou=0.0614
  Epoch 0 [290/537] loss=0.3156 mask=0.2557 iou=0.0599
  Epoch 0 [300/537] loss=0.3119 mask=0.2528 iou=0.0591
  Epoch 0 [310/537] loss=0.3082 mask=0.2498 iou=0.0584
  Epoch 0 [320/537] loss=0.3050 mask=0.2473 iou=0.0577
  Epoch 0 [330/537] loss=0.3024 mask=0.2451 iou=0.0574
  Epoch 0 [340/537] loss=0.2991 mask=0.2425 iou=0.0566
  Epoch 0 [350/537] loss=0.2951 mask=0.2392 iou=0.0559
  Epoch 0 [360/537] loss=0.2911 mask=0.2359 iou=0.0551
