nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 2145  Val samples: 543

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 0 [10/537] loss=1.3573 mask=0.8672 iou=0.4900
  Epoch 0 [20/537] loss=1.2073 mask=0.8537 iou=0.3536
  Epoch 0 [30/537] loss=1.1035 mask=0.8430 iou=0.2605
  Epoch 0 [40/537] loss=1.0387 mask=0.8248 iou=0.2138
  Epoch 0 [50/537] loss=0.9775 mask=0.7823 iou=0.1952
  Epoch 0 [60/537] loss=0.9007 mask=0.7180 iou=0.1827
  Epoch 0 [70/537] loss=0.8325 mask=0.6597 iou=0.1727
  Epoch 0 [80/537] loss=0.7696 mask=0.6068 iou=0.1628
  Epoch 0 [90/537] loss=0.7271 mask=0.5706 iou=0.1565
  Epoch 0 [100/537] loss=0.6820 mask=0.5348 iou=0.1471
  Epoch 0 [110/537] loss=0.6457 mask=0.5065 iou=0.1392
  Epoch 0 [120/537] loss=0.6161 mask=0.4833 iou=0.1327
  Epoch 0 [130/537] loss=0.5881 mask=0.4621 iou=0.1260
  Epoch 0 [140/537] loss=0.5656 mask=0.4447 iou=0.1209
  Epoch 0 [150/537] loss=0.5432 mask=0.4273 iou=0.1159
  Epoch 0 [160/537] loss=0.5285 mask=0.4146 iou=0.1139
  Epoch 0 [170/537] loss=0.5126 mask=0.4020 iou=0.1106
  Epoch 0 [180/537] loss=0.4986 mask=0.3908 iou=0.1078
  Epoch 0 [190/537] loss=0.4893 mask=0.3829 iou=0.1063
  Epoch 0 [200/537] loss=0.4784 mask=0.3737 iou=0.1047
  Epoch 0 [210/537] loss=0.4649 mask=0.3632 iou=0.1017
  Epoch 0 [220/537] loss=0.4537 mask=0.3544 iou=0.0993
  Epoch 0 [230/537] loss=0.4453 mask=0.3481 iou=0.0972
  Epoch 0 [240/537] loss=0.4357 mask=0.3405 iou=0.0952
  Epoch 0 [250/537] loss=0.4313 mask=0.3368 iou=0.0944
  Epoch 0 [260/537] loss=0.4255 mask=0.3320 iou=0.0935
  Epoch 0 [270/537] loss=0.4196 mask=0.3276 iou=0.0921
  Epoch 0 [280/537] loss=0.4124 mask=0.3217 iou=0.0906
  Epoch 0 [290/537] loss=0.4033 mask=0.3146 iou=0.0888
  Epoch 0 [300/537] loss=0.3973 mask=0.3099 iou=0.0873
  Epoch 0 [310/537] loss=0.3904 mask=0.3047 iou=0.0857
  Epoch 0 [320/537] loss=0.3890 mask=0.3034 iou=0.0856
  Epoch 0 [330/537] loss=0.3822 mask=0.2987 iou=0.0835
  Epoch 0 [340/537] loss=0.3774 mask=0.2951 iou=0.0823
  Epoch 0 [350/537] loss=0.3729 mask=0.2918 iou=0.0811
  Epoch 0 [360/537] loss=0.3709 mask=0.2903 iou=0.0806
