nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Loaded DINOv3 ViT-B/16 from /data3/LXT/data/checkpoint/dinov3/dinov3_vitb16_pretrain_lvd1689m-73cec8be.pth
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 880  Val samples: 220

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 183,583,485  Trainable: 4,599,344

=== Phase1 Epoch 0/49 ===
  Epoch 0 [10/440] loss=1.3954 mask=1.0000 iou=0.3954
  Epoch 0 [20/440] loss=1.2668 mask=0.9998 iou=0.2671
  Epoch 0 [30/440] loss=1.1924 mask=0.9996 iou=0.1929
  Epoch 0 [40/440] loss=1.1446 mask=0.9984 iou=0.1462
  Epoch 0 [50/440] loss=1.1106 mask=0.9918 iou=0.1188
  Epoch 0 [60/440] loss=1.0818 mask=0.9817 iou=0.1001
  Epoch 0 [70/440] loss=1.0481 mask=0.9610 iou=0.0872
  Epoch 0 [80/440] loss=1.0190 mask=0.9408 iou=0.0782
  Epoch 0 [90/440] loss=0.9824 mask=0.9117 iou=0.0707
  Epoch 0 [100/440] loss=0.9452 mask=0.8803 iou=0.0648
  Epoch 0 [110/440] loss=0.9106 mask=0.8501 iou=0.0604
  Epoch 0 [120/440] loss=0.8755 mask=0.8180 iou=0.0575
  Epoch 0 [130/440] loss=0.8410 mask=0.7862 iou=0.0548
  Epoch 0 [140/440] loss=0.8080 mask=0.7555 iou=0.0525
  Epoch 0 [150/440] loss=0.7742 mask=0.7236 iou=0.0506
  Epoch 0 [160/440] loss=0.7449 mask=0.6964 iou=0.0485
  Epoch 0 [170/440] loss=0.7231 mask=0.6760 iou=0.0471
  Epoch 0 [180/440] loss=0.6999 mask=0.6542 iou=0.0457
  Epoch 0 [190/440] loss=0.6819 mask=0.6370 iou=0.0449
  Epoch 0 [200/440] loss=0.6609 mask=0.6174 iou=0.0436
  Epoch 0 [210/440] loss=0.6410 mask=0.5980 iou=0.0430
  Epoch 0 [220/440] loss=0.6240 mask=0.5822 iou=0.0419
  Epoch 0 [230/440] loss=0.6068 mask=0.5662 iou=0.0407
  Epoch 0 [240/440] loss=0.5920 mask=0.5524 iou=0.0397
  Epoch 0 [250/440] loss=0.5809 mask=0.5418 iou=0.0392
  Epoch 0 [260/440] loss=0.5676 mask=0.5291 iou=0.0385
  Epoch 0 [270/440] loss=0.5551 mask=0.5175 iou=0.0377
  Epoch 0 [280/440] loss=0.5434 mask=0.5066 iou=0.0368
  Epoch 0 [290/440] loss=0.5315 mask=0.4957 iou=0.0359
  Epoch 0 [300/440] loss=0.5216 mask=0.4864 iou=0.0352
  Epoch 0 [310/440] loss=0.5132 mask=0.4786 iou=0.0346
  Epoch 0 [320/440] loss=0.5028 mask=0.4688 iou=0.0339
  Epoch 0 [330/440] loss=0.4936 mask=0.4604 iou=0.0332
  Epoch 0 [340/440] loss=0.4866 mask=0.4538 iou=0.0328
