nohup: ignoring input
/home/LXT/.conda/envs/dinov3-sam/lib/python3.10/runpy.py:126: RuntimeWarning: 'dinosam.train.trainer' found in sys.modules after import of package 'dinosam.train', but prior to execution of 'dinosam.train.trainer'; this may result in unpredictable behaviour
  warn(RuntimeWarning(msg))
Initialized depth branch from SAM inner weights (depth_prediction_head random)
Train samples: 880  Val samples: 220

============================================================
PHASE 1: Mask-only training (dice + iou loss)
============================================================
Phase 1: Total params: 97,379,069  Trainable: 4,064,560

=== Phase1 Epoch 0/49 ===
  Epoch 0 [10/440] loss=1.4054 mask=0.9791 iou=0.4263
  Epoch 0 [20/440] loss=1.2320 mask=0.9789 iou=0.2531
  Epoch 0 [30/440] loss=1.1487 mask=0.9736 iou=0.1751
  Epoch 0 [40/440] loss=1.1045 mask=0.9664 iou=0.1381
  Epoch 0 [50/440] loss=1.0624 mask=0.9438 iou=0.1186
  Epoch 0 [60/440] loss=1.0026 mask=0.8908 iou=0.1119
  Epoch 0 [70/440] loss=0.9368 mask=0.8315 iou=0.1053
  Epoch 0 [80/440] loss=0.8768 mask=0.7780 iou=0.0988
  Epoch 0 [90/440] loss=0.8187 mask=0.7253 iou=0.0934
  Epoch 0 [100/440] loss=0.7704 mask=0.6805 iou=0.0899
  Epoch 0 [110/440] loss=0.7371 mask=0.6506 iou=0.0865
  Epoch 0 [120/440] loss=0.6939 mask=0.6119 iou=0.0820
  Epoch 0 [130/440] loss=0.6765 mask=0.5952 iou=0.0814
  Epoch 0 [140/440] loss=0.6492 mask=0.5711 iou=0.0782
  Epoch 0 [150/440] loss=0.6285 mask=0.5522 iou=0.0763
  Epoch 0 [160/440] loss=0.6097 mask=0.5348 iou=0.0749
  Epoch 0 [170/440] loss=0.5903 mask=0.5181 iou=0.0722sglamnsgsgsssgg
  Epoch 0 [180/440] loss=0.5720 mask=0.5024 iou=0.0696
  Epoch 0 [190/440] loss=0.5638 mask=0.4949 iou=0.0690
  Epoch 0 [200/440] loss=0.5553 mask=0.4860 iou=0.0694
  Epoch 0 [210/440] loss=0.5463 mask=0.4778 iou=0.0685
  Epoch 0 [220/440] loss=0.5402 mask=0.4729 iou=0.0673
  Epoch 0 [230/440] loss=0.5315 mask=0.4652 iou=0.0663
  Epoch 0 [240/440] loss=0.5198 mask=0.4552 iou=0.0646
  Epoch 0 [250/440] loss=0.5120 mask=0.4480 iou=0.0640
  Epoch 0 [260/440] loss=0.5056 mask=0.4419 iou=0.0637
  Epoch 0 [270/440] loss=0.4959 mask=0.4332 iou=0.0628
  Epoch 0 [280/440] loss=0.4864 mask=0.4252 iou=0.0612
  Epoch 0 [290/440] loss=0.4785 mask=0.4179 iou=0.0606
  Epoch 0 [300/440] loss=0.4748 mask=0.4139 iou=0.0608
  Epoch 0 [310/440] loss=0.4673 mask=0.4076 iou=0.0598
  Epoch 0 [320/440] loss=0.4567 mask=0.3981 iou=0.0586
  Epoch 0 [330/440] loss=0.4511 mask=0.3929 iou=0.0582
  Epoch 0 [340/440] loss=0.4444 mask=0.3871 iou=0.0573
  Epoch 0 [350/440] loss=0.4381 mask=0.3819 iou=0.0563
